n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,40336,53340,0.149514,0.000000,9073735200.000000,25208.321156,39669.440651,336.224222,17934200.000000,2974205.707531,9091669400.000000,25258.145298,39591.188831,0.046089,0.053902
1024,0.500000,0.050000,40336,53340,0.186860,0.000000,9073735200.000000,25208.321156,39669.440651,311.616048,16621600.000000,3209077.345141,9090356800.000000,25254.498680,39596.905591,0.029984,0.037796
1024,0.500000,0.100000,40336,53340,0.231410,0.000000,9073735200.000000,25208.321156,39669.440651,307.367829,16395000.000000,3253430.924062,9090130200.000000,25253.869148,39597.892668,0.023048,0.030861
1024,0.500000,0.200000,40336,53340,0.315222,0.000000,9073735200.000000,25208.321156,39669.440651,295.654293,15770200.000000,3382328.695895,9089505400.000000,25252.133352,39600.614572,0.016113,0.023926
1024,0.500000,0.001000,40336,53340,0.141120,0.000000,9073735200.000000,25208.321156,39669.440651,336.674166,17958200.000000,2970230.869464,9091693400.000000,25258.211974,39591.084319,0.069138,0.076950
1024,0.600000,0.010000,55043,68556,0.116399,0.000000,9073735200.000000,25208.321156,39669.440651,319.038450,21872000.000000,3134418.434528,9095607200.000000,25269.085151,39574.048448,0.062897,0.070709
1024,0.600000,0.050000,55043,68556,0.152422,0.000000,9073735200.000000,25208.321156,39669.440651,300.999183,20635300.000000,3322268.152147,9094370500.000000,25265.649396,39579.429934,0.040916,0.048729
1024,0.600000,0.100000,55043,68556,0.201533,0.000000,9073735200.000000,25208.321156,39669.440651,297.442966,20391500.000000,3361989.064071,9094126700.000000,25264.972079,39580.491000,0.031448,0.039261
1024,0.600000,0.200000,55043,68556,0.292220,0.000000,9073735200.000000,25208.321156,39669.440651,287.828928,19732400.000000,3474285.945957,9093467600.000000,25263.140992,39583.359818,0.021988,0.029800
1024,0.600000,0.001000,55043,68556,0.107674,0.000000,9073735200.000000,25208.321156,39669.440651,339.857926,23299300.000000,2942405.995030,9097034500.000000,25273.050424,39567.839388,0.094345,0.102158
1024,0.700000,0.010000,75349,89333,0.085068,0.000000,9073735200.000000,25208.321156,39669.440651,315.313490,28167900.000000,3171446.930726,9101903100.000000,25286.576191,39546.674585,0.086098,0.093910
1024,0.700000,0.050000,75349,89333,0.122017,0.000000,9073735200.000000,25208.321156,39669.440651,296.389912,26477400.000000,3373933.996540,9100212600.000000,25281.879706,39554.020969,0.056007,0.063820
1024,0.700000,0.100000,75349,89333,0.169079,0.000000,9073735200.000000,25208.321156,39669.440651,289.461901,25858500.000000,3454686.080012,9099593700.000000,25280.160300,39556.711197,0.043053,0.050865
1024,0.700000,0.200000,75349,89333,0.264988,0.000000,9073735200.000000,25208.321156,39669.440651,281.197318,25120200.000000,3556221.686133,9098855400.000000,25278.109182,39559.920910,0.030090,0.037903
1024,0.700000,0.001000,75349,89333,0.076608,0.000000,9073735200.000000,25208.321156,39669.440651,333.315796,29776100.000000,3000157.844714,9103511300.000000,25291.044034,39539.688384,0.129150,0.136963
1024,0.800000,0.010000,106053,120458,0.057572,0.000000,9073735200.000000,25208.321156,39669.440651,311.785021,37557000.000000,3207338.179301,9111292200.000000,25312.660647,39505.922113,0.121185,0.128998
1024,0.800000,0.050000,106053,120458,0.095776,0.000000,9073735200.000000,25208.321156,39669.440651,292.899600,35282100.000000,3414139.181058,9109017300.000000,25306.340603,39515.788383,0.078835,0.086647
1024,0.800000,0.100000,106053,120458,0.144887,0.000000,9073735200.000000,25208.321156,39669.440651,274.989623,33124700.000000,3636500.858876,9106859900.000000,25300.346993,39525.149607,0.060593,0.068405
1024,0.800000,0.200000,106053,120458,0.241259,0.000000,9073735200.000000,25208.321156,39669.440651,263.903601,31789300.000000,3789262.424778,9105524500.000000,25296.637033,39530.946295,0.042351,0.050163
1024,0.800000,0.001000,106053,120458,0.048516,0.000000,9073735200.000000,25208.321156,39669.440651,326.098723,39281200.000000,3066556.011527,9113016400.000000,25317.450757,39498.447517,0.181770,0.189583
1024,0.900000,0.010000,161423,176230,0.031463,0.000000,9073735200.000000,25208.321156,39669.440651,315.696533,55635200.000000,3167598.930174,9129370400.000000,25362.884845,39427.691531,0.184448,0.192261
1024,0.900000,0.050000,161423,176230,0.068676,0.000000,9073735200.000000,25208.321156,39669.440651,282.758327,49830500.000000,3536589.036835,9123565700.000000,25346.758439,39452.776670,0.119987,0.127800
1024,0.900000,0.100000,161423,176230,0.119968,0.000000,9073735200.000000,25208.321156,39669.440651,275.091642,48479400.000000,3635152.250234,9122214600.000000,25343.004862,39458.620059,0.092224,0.100037
1024,0.900000,0.200000,161423,176230,0.221363,0.000000,9073735200.000000,25208.321156,39669.440651,263.360949,46412100.000000,3797070.160583,9120147300.000000,25337.261564,39467.564301,0.064468,0.072281
1024,0.900000,0.001000,161423,176230,0.021879,0.000000,9073735200.000000,25208.321156,39669.440651,330.587301,58259400.000000,3024919.583792,9131994600.000000,25370.175302,39416.361460,0.276672,0.284485
1024,0.950000,0.010000,215536,230526,0.018243,0.000000,9073735200.000000,25208.321156,39669.440651,306.262200,70601400.000000,3265176.044668,9144336600.000000,25404.463398,39363.161675,0.246284,0.254097
1024,0.950000,0.050000,215536,230526,0.061934,0.000000,9073735200.000000,25208.321156,39669.440651,284.798244,65653400.000000,3511257.604328,9139388600.000000,25390.717044,39384.472611,0.160210,0.168022
1024,0.950000,0.100000,215536,230526,0.108665,0.000000,9073735200.000000,25208.321156,39669.440651,277.990335,64084000.000000,3597247.362836,9137819200.000000,25386.356994,39391.236806,0.123146,0.130959
