n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,50837,63155,0.193139,0.000000,33306200.000000,92.530074,10807297.139872,133.845301,8453000.000000,7471311.960251,2636777600.000000,7325.399639,136511.323519,2678536800.000000,7441.413530,134383.070638,0.058090,0.065903
1024,0.500000,0.050000,50837,63155,0.228171,0.000000,33306200.000000,92.530074,10807297.139872,109.468767,6913500.000000,9135025.674405,2636777600.000000,7325.399639,136511.323519,2676997300.000000,7437.136547,134460.352276,0.037788,0.045601
1024,0.500000,0.100000,50837,63155,0.267962,0.000000,33306200.000000,92.530074,10807297.139872,102.538200,6475800.000000,9752463.016152,2636777600.000000,7325.399639,136511.323519,2676559600.000000,7435.920545,134482.340688,0.029045,0.036858
1024,0.500000,0.200000,50837,63155,0.356864,0.000000,33306200.000000,92.530074,10807297.139872,91.316602,5767100.000000,10950911.203204,2636777600.000000,7325.399639,136511.323519,2675850900.000000,7433.951660,134517.958381,0.020302,0.028114
1024,0.500000,0.001000,50837,63155,0.186463,0.000000,33306200.000000,92.530074,10807297.139872,158.060328,9982300.000000,6326698.255913,2636777600.000000,7325.399639,136511.323519,2680066100.000000,7445.662175,134306.388936,0.087135,0.094948
1024,0.600000,0.010000,71955,85016,0.144755,0.000000,33306200.000000,92.530074,10807297.139872,134.015950,11393500.000000,7461798.393821,2636777600.000000,7325.399639,136511.323519,2681477300.000000,7449.582720,134235.706564,0.082222,0.090034
1024,0.600000,0.050000,71955,85016,0.181638,0.000000,33306200.000000,92.530074,10807297.139872,111.168486,9451100.000000,8995355.038038,2636777600.000000,7325.399639,136511.323519,2679534900.000000,7444.186415,134333.014285,0.053490,0.061302
1024,0.600000,0.100000,71955,85016,0.221561,0.000000,33306200.000000,92.530074,10807297.139872,101.973746,8669400.000000,9806445.659446,2636777600.000000,7325.399639,136511.323519,2678753200.000000,7442.014724,134372.214656,0.041115,0.048927
1024,0.600000,0.200000,71955,85016,0.316809,0.000000,33306200.000000,92.530074,10807297.139872,94.582196,8041000.000000,10572814.326576,2636777600.000000,7325.399639,136511.323519,2678124800.000000,7440.268926,134403.743993,0.028740,0.036552
1024,0.600000,0.001000,71955,85016,0.137418,0.000000,33306200.000000,92.530074,10807297.139872,153.405241,13041900.000000,6518682.093867,2636777600.000000,7325.399639,136511.323519,2683125700.000000,7454.162245,134153.237770,0.123329,0.131142
1024,0.700000,0.010000,100340,114066,0.101329,0.000000,33306200.000000,92.530074,10807297.139872,145.915523,16644000.000000,6853280.461428,2636777600.000000,7325.399639,136511.323519,2686727800.000000,7464.169468,133973.378323,0.114655,0.122467
1024,0.700000,0.050000,100340,114066,0.140062,0.000000,33306200.000000,92.530074,10807297.139872,110.764820,12634500.000000,9028137.243262,2636777600.000000,7325.399639,136511.323519,2682718300.000000,7453.030421,134173.610401,0.074585,0.082397
1024,0.700000,0.100000,100340,114066,0.187917,0.000000,33306200.000000,92.530074,10807297.139872,112.371785,12817800.000000,8899031.034967,2636777600.000000,7325.399639,136511.323519,2682901600.000000,7453.539658,134164.443452,0.057327,0.065140
1024,0.700000,0.200000,100340,114066,0.275167,0.000000,33306200.000000,92.530074,10807297.139872,91.921344,10485100.000000,10878866.200608,2636777600.000000,7325.399639,136511.323519,2680568900.000000,7447.059036,134281.196801,0.040070,0.047882
1024,0.700000,0.001000,100340,114066,0.093992,0.000000,33306200.000000,92.530074,10807297.139872,158.831729,18117300.000000,6295971.253995,2636777600.000000,7325.399639,136511.323519,2688201100.000000,7468.262536,133899.952649,0.171982,0.179794
1024,0.800000,0.010000,140652,154958,0.065305,0.000000,33306200.000000,92.530074,10807297.139872,133.185766,20638200.000000,7508309.833222,2636777600.000000,7325.399639,136511.323519,2690722000.000000,7475.266009,133774.503646,0.160713,0.168526
1024,0.800000,0.050000,140652,154958,0.101923,0.000000,33306200.000000,92.530074,10807297.139872,112.819603,17482300.000000,8863707.864526,2636777600.000000,7325.399639,136511.323519,2687566100.000000,7466.498403,133931.589627,0.104553,0.112366
1024,0.800000,0.100000,140652,154958,0.153017,0.000000,33306200.000000,92.530074,10807297.139872,103.785542,16082400.000000,9635253.444759,2636777600.000000,7325.399639,136511.323519,2686166200.000000,7462.609251,134001.388298,0.080360,0.088173
1024,0.800000,0.200000,140652,154958,0.246679,0.000000,33306200.000000,92.530074,10807297.139872,91.975890,14252400.000000,10872414.470545,2636777600.000000,7325.399639,136511.323519,2684336200.000000,7457.525212,134092.741438,0.056168,0.063980
1024,0.800000,0.001000,140652,154958,0.055787,0.000000,33306200.000000,92.530074,10807297.139872,160.768724,24912400.000000,6220115.283955,2636777600.000000,7325.399639,136511.323519,2694996200.000000,7487.140436,133562.340459,0.241074,0.248886
1024,0.900000,0.010000,205034,219867,0.030141,0.000000,33306200.000000,92.530074,10807297.139872,138.394120,30428300.000000,7225740.511300,2636777600.000000,7325.399639,136511.323519,2700512100.000000,7502.464509,133289.534233,0.234283,0.242096
1024,0.900000,0.050000,205034,219867,0.069866,0.000000,33306200.000000,92.530074,10807297.139872,114.140821,25095800.000000,8761107.436304,2636777600.000000,7325.399639,136511.323519,2695179600.000000,7487.649951,133553.251887,0.152405,0.160217
1024,0.900000,0.100000,205034,219867,0.118514,0.000000,33306200.000000,92.530074,10807297.139872,103.340201,22721100.000000,9676776.212419,2636777600.000000,7325.399639,136511.323519,2692804900.000000,7481.052646,133671.028302,0.117142,0.124954
1024,0.900000,0.200000,205034,219867,0.220834,0.000000,33306200.000000,92.530074,10807297.139872,91.963323,20219700.000000,10873900.206235,2636777600.000000,7325.399639,136511.323519,2690303500.000000,7474.103348,133795.313428,0.081879,0.089691
1024,0.900000,0.001000,205034,219867,0.020424,0.000000,33306200.000000,92.530074,10807297.139872,167.875579,36910300.000000,5956792.548421,2636777600.000000,7325.399639,136511.323519,2706994100.000000,7520.472566,132970.367390,0.351418,0.359230
1024,0.950000,0.010000,260339,275356,0.017780,0.000000,33306200.000000,92.530074,10807297.139872,137.617121,37893700.000000,7266537.709435,2636777600.000000,7325.399639,136511.323519,2707977500.000000,7523.204612,132922.079301,0.297478,0.305290
