n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,50837,63155,0.193139,0.000000,35485000.000000,98.583137,10143722.699732,135.623466,8565300.000000,7373355.282360,2744599300.000000,7624.945965,131148.470380,2788649600.000000,7747.324906,129076.811945,0.058090,0.065903
1024,0.500000,0.050000,50837,63155,0.228171,0.000000,35485000.000000,98.583137,10143722.699732,116.647930,7366900.000000,8572805.386255,2744599300.000000,7624.945965,131148.470380,2787451200.000000,7743.995555,129132.305527,0.037788,0.045601
1024,0.500000,0.100000,50837,63155,0.267962,0.000000,35485000.000000,98.583137,10143722.699732,110.279471,6964700.000000,9067870.834350,2744599300.000000,7624.945965,131148.470380,2787049000.000000,7742.878178,129150.940654,0.029045,0.036858
1024,0.500000,0.200000,50837,63155,0.356864,0.000000,35485000.000000,98.583137,10143722.699732,107.595598,6795200.000000,9294060.513304,2744599300.000000,7624.945965,131148.470380,2786879500.000000,7742.407279,129158.795707,0.020302,0.028114
1024,0.500000,0.001000,50837,63155,0.186463,0.000000,35485000.000000,98.583137,10143722.699732,158.869448,10033400.000000,6294476.448661,2744599300.000000,7624.945965,131148.470380,2790117700.000000,7751.403528,129008.894499,0.087135,0.094948
1024,0.600000,0.010000,71955,85016,0.144755,0.000000,35485000.000000,98.583137,10143722.699732,135.779147,11543400.000000,7364901.155639,2744599300.000000,7624.945965,131148.470380,2791627700.000000,7755.598555,128939.113192,0.082222,0.090034
1024,0.600000,0.050000,71955,85016,0.181638,0.000000,35485000.000000,98.583137,10143722.699732,117.288510,9971400.000000,8525984.315141,2744599300.000000,7624.945965,131148.470380,2790055700.000000,7751.231282,129011.761306,0.053490,0.061302
1024,0.600000,0.100000,71955,85016,0.221561,0.000000,35485000.000000,98.583137,10143722.699732,108.747765,9245300.000000,9195591.273404,2744599300.000000,7624.945965,131148.470380,2789329600.000000,7749.214058,129045.344803,0.041115,0.048927
1024,0.600000,0.200000,71955,85016,0.316809,0.000000,35485000.000000,98.583137,10143722.699732,102.914745,8749400.000000,9716780.579240,2744599300.000000,7624.945965,131148.470380,2788833700.000000,7747.836366,129068.291164,0.028740,0.036552
1024,0.600000,0.001000,71955,85016,0.137418,0.000000,35485000.000000,98.583137,10143722.699732,161.822480,13757500.000000,6179611.121207,2744599300.000000,7624.945965,131148.470380,2793841800.000000,7761.749687,128836.929851,0.123329,0.131142
1024,0.700000,0.010000,100340,114066,0.101329,0.000000,35485000.000000,98.583137,10143722.699732,136.294777,15546600.000000,7337038.323492,2744599300.000000,7624.945965,131148.470380,2795630900.000000,7766.720100,128754.478998,0.114655,0.122467
1024,0.700000,0.050000,100340,114066,0.140062,0.000000,35485000.000000,98.583137,10143722.699732,116.543054,13293600.000000,8580519.949449,2744599300.000000,7624.945965,131148.470380,2793377900.000000,7760.460897,128858.325972,0.074585,0.082397
1024,0.700000,0.100000,100340,114066,0.187917,0.000000,35485000.000000,98.583137,10143722.699732,111.269791,12692100.000000,8987165.244522,2744599300.000000,7624.945965,131148.470380,2792776400.000000,7758.789832,128886.079100,0.057327,0.065140
