n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,41594,54591,0.148457,0.000000,214938290.000000,597.133741,1674666.714805,286.152113,15621330.000000,3494644.822176,230559620.000000,640.532352,1561201.393375,0.047531,0.055344
1024,0.500000,0.050000,41594,54591,0.182894,0.000000,214938290.000000,597.133741,1674666.714805,266.398491,14542960.000000,3753775.022416,229481250.000000,637.536463,1568537.734564,0.030922,0.038734
1024,0.500000,0.100000,41594,54591,0.228435,0.000000,214938290.000000,597.133741,1674666.714805,265.008335,14467070.000000,3773466.223638,229405360.000000,637.325629,1569056.625355,0.023766,0.031578
1024,0.500000,0.200000,41594,54591,0.315883,0.000000,214938290.000000,597.133741,1674666.714805,248.917770,13588670.000000,4017390.958791,228526960.000000,634.885290,1575087.683309,0.016617,0.024429
1024,0.500000,0.001000,41594,54591,0.141781,0.000000,214938290.000000,597.133741,1674666.714805,302.295250,16502600.000000,3308024.190128,231440890.000000,642.980664,1555256.722354,0.071297,0.079109
1024,0.600000,0.010000,57808,71363,0.113028,0.000000,214938290.000000,597.133741,1674666.714805,284.390791,20294980.000000,3516288.264389,235233270.000000,653.516516,1530183.209203,0.066055,0.073868
1024,0.600000,0.050000,57808,71363,0.149845,0.000000,214938290.000000,597.133741,1674666.714805,265.574457,18952190.000000,3765422.360160,233890480.000000,649.786026,1538968.152958,0.042969,0.050781
1024,0.600000,0.100000,57808,71363,0.193602,0.000000,214938290.000000,597.133741,1674666.714805,257.563023,18380470.000000,3882544.896839,233318760.000000,648.197694,1542739.212226,0.033028,0.040840
1024,0.600000,0.200000,57808,71363,0.290502,0.000000,214938290.000000,597.133741,1674666.714805,244.614156,17456400.000000,4088070.850805,232394690.000000,645.630476,1548873.599479,0.023087,0.030899
1024,0.600000,0.001000,57808,71363,0.104832,0.000000,214938290.000000,597.133741,1674666.714805,304.571557,21735140.000000,3283300.682673,236673430.000000,657.517516,1520872.030291,0.099083,0.106895
1024,0.700000,0.010000,78979,93025,0.081896,0.000000,214938290.000000,597.133741,1674666.714805,276.800537,25749370.000000,3612709.747850,240687660.000000,668.669704,1495506.666191,0.090248,0.098061
1024,0.700000,0.050000,78979,93025,0.118977,0.000000,214938290.000000,597.133741,1674666.714805,263.540446,24515850.000000,3794483.976693,239454140.000000,665.242784,1503210.593895,0.058708,0.066521
1024,0.700000,0.100000,78979,93025,0.168220,0.000000,214938290.000000,597.133741,1674666.714805,257.206342,23926620.000000,3887929.009614,238864910.000000,663.605806,1506918.701453,0.045128,0.052940
1024,0.700000,0.200000,78979,93025,0.265913,0.000000,214938290.000000,597.133741,1674666.714805,242.432679,22552300.000000,4124856.444797,237490590.000000,659.787721,1515638.998581,0.031540,0.039352
1024,0.700000,0.001000,78979,93025,0.072378,0.000000,214938290.000000,597.133741,1674666.714805,307.116367,28569500.000000,3256094.786398,243507790.000000,676.504487,1478186.796406,0.135368,0.143181
1024,0.800000,0.010000,108522,123010,0.053540,0.000000,214938290.000000,597.133741,1674666.714805,300.344769,36945410.000000,3329506.967171,251883700.000000,699.774135,1429032.525725,0.124001,0.131813
1024,0.800000,0.050000,108522,123010,0.090356,0.000000,214938290.000000,597.133741,1674666.714805,279.933908,34434670.000000,3572271.783061,249372960.000000,692.798889,1443420.329133,0.080666,0.088478
1024,0.800000,0.100000,108522,123010,0.142309,0.000000,214938290.000000,597.133741,1674666.714805,271.220714,33362860.000000,3687034.025260,248301150.000000,689.821225,1449650.958121,0.062004,0.069817
1024,0.800000,0.200000,108522,123010,0.245951,0.000000,214938290.000000,597.133741,1674666.714805,259.984148,31980650.000000,3846388.362963,246918940.000000,685.981220,1457765.856277,0.043343,0.051155
1024,0.800000,0.001000,108522,123010,0.043625,0.000000,214938290.000000,597.133741,1674666.714805,328.841639,40450810.000000,3040977.424185,255389100.000000,709.512710,1409418.021364,0.186005,0.193817
1024,0.900000,0.010000,156020,170883,0.026307,0.000000,214938290.000000,597.133741,1674666.714805,297.978207,50919410.000000,3355950.118039,265857700.000000,738.596194,1353919.784907,0.178276,0.186089
1024,0.900000,0.050000,156020,170883,0.064908,0.000000,214938290.000000,597.133741,1674666.714805,282.927676,48347530.000000,3534472.185032,263285820.000000,731.451090,1367145.408742,0.115974,0.123787
1024,0.900000,0.100000,156020,170883,0.116201,0.000000,214938290.000000,597.133741,1674666.714805,276.601008,47266410.000000,3615315.823647,262204700.000000,728.447562,1372782.410079,0.089142,0.096954
1024,0.900000,0.200000,156020,170883,0.218389,0.000000,214938290.000000,597.133741,1674666.714805,261.418924,44672050.000000,3825277.774358,259610340.000000,721.240006,1386501.015329,0.062309,0.070122
1024,0.900000,0.001000,156020,170883,0.018508,0.000000,214938290.000000,597.133741,1674666.714805,330.649041,56502300.000000,3024354.760780,271440590.000000,754.106376,1326072.861837,0.267410,0.275223
1024,0.950000,0.010000,198772,213776,0.017384,0.000000,214938290.000000,597.133741,1674666.714805,340.670421,72827160.000000,2935388.390815,287765450.000000,799.459508,1250845.089291,0.227127,0.234940
1024,0.950000,0.050000,198772,213776,0.059951,0.000000,214938290.000000,597.133741,1674666.714805,285.444157,61021110.000000,3503312.214412,275959400.000000,766.660369,1304358.539698,0.147751,0.155563
1024,0.950000,0.100000,198772,213776,0.109062,0.000000,214938290.000000,597.133741,1674666.714805,275.263921,58844820.000000,3632877.116456,273783110.000000,760.614280,1314726.828839,0.113564,0.121376
1024,0.950000,0.200000,198772,213776,0.216538,0.000000,214938290.000000,597.133741,1674666.714805,263.810905,56396440.000000,3790593.874365,271334730.000000,753.812279,1326590.223080,0.079376,0.087189
1024,0.950000,0.001000,198772,213776,0.008923,0.000000,214938290.000000,597.133741,1674666.714805,338.390652,72339800.000000,2955164.377010,287278090.000000,798.105542,1252967.116288,0.340691,0.348503
1024,0.990000,0.010000,272902,288001,0.011303,0.000000,214938290.000000,597.133741,1674666.714805,313.513495,90292200.000000,3189655.363365,305230490.000000,847.980247,1179272.752208,0.311829,0.319641
1024,0.990000,0.050000,272902,288001,0.054333,0.000000,214938290.000000,597.133741,1674666.714805,290.401283,83635860.000000,3443510.953316,298574150.000000,829.487846,1205563.174173,0.202850,0.210663
1024,0.990000,0.100000,272902,288001,0.103444,0.000000,214938290.000000,597.133741,1674666.714805,274.420436,79033360.000000,3644043.477337,293971650.000000,816.701347,1224437.798679,0.155914,0.163727
1024,0.990000,0.200000,272902,288001,0.209003,0.000000,214938290.000000,597.133741,1674666.714805,254.696338,73352800.000000,3926244.124287,288291090.000000,800.919822,1248564.428405,0.108986,0.116798
1024,0.990000,0.001000,272902,288001,0.002974,0.000000,214938290.000000,597.133741,1674666.714805,317.432752,91420950.000000,3150273.542334,306359240.000000,851.116099,1174927.839617,0.467743,0.475555
2048,0.500000,0.010000,29912,43441,0.114813,0.000000,193441440.000000,537.411974,1860769.853657,289.692456,12584530.000000,3451936.623775,206025970.000000,572.373857,1747109.842512,0.034180,0.049805
2048,0.500000,0.050000,29912,43441,0.152422,0.000000,193441440.000000,537.411974,1860769.853657,269.688313,11715530.000000,3707984.188509,205156970.000000,569.959633,1754510.217225,0.022240,0.037865
2048,0.500000,0.100000,29912,43441,0.195254,0.000000,193441440.000000,537.411974,1860769.853657,256.978661,11163410.000000,3891373.693164,204604850.000000,568.425754,1759244.709986,0.017090,0.032715
2048,0.500000,0.200000,29912,43441,0.287395,0.000000,193441440.000000,537.411974,1860769.853657,254.566423,11058620.000000,3928247.828391,204500060.000000,568.134630,1760146.182842,0.011948,0.027573
2048,0.500000,0.001000,29912,43441,0.107145,0.000000,193441440.000000,537.411974,1860769.853657,300.434843,13051190.000000,3328508.741348,206492630.000000,573.670315,1743161.487168,0.051270,0.066895
2048,0.600000,0.010000,40899,54805,0.090290,0.000000,193441440.000000,537.411974,1860769.853657,275.299152,15087770.000000,3632412.212010,208529210.000000,579.328268,1726137.072116,0.046738,0.062363
2048,0.600000,0.050000,40899,54805,0.126115,0.000000,193441440.000000,537.411974,1860769.853657,269.884500,14791020.000000,3705288.749525,208232460.000000,578.503848,1728596.972825,0.030403,0.046028
2048,0.600000,0.100000,40899,54805,0.174764,0.000000,193441440.000000,537.411974,1860769.853657,256.399781,14051990.000000,3900159.336863,207493430.000000,576.450701,1734753.722082,0.023369,0.038994
2048,0.600000,0.200000,40899,54805,0.277018,0.000000,193441440.000000,537.411974,1860769.853657,245.046802,13429790.000000,4080853.088544,206871230.000000,574.722128,1739971.285519,0.016335,0.031960
2048,0.600000,0.001000,40899,54805,0.081697,0.000000,193441440.000000,537.411974,1860769.853657,299.254265,16400630.000000,3341639.924808,209842070.000000,582.975608,1715337.634632,0.070099,0.085724
2048,0.700000,0.010000,55574,69853,0.065636,0.000000,193441440.000000,537.411974,1860769.853657,280.674130,19605930.000000,3562850.627336,213047370.000000,591.880456,1689530.361253,0.063507,0.079132
2048,0.700000,0.050000,55574,69853,0.107872,0.000000,193441440.000000,537.411974,1860769.853657,267.773038,18704750.000000,3734505.941004,212146190.000000,589.376830,1696707.350719,0.041313,0.056938
2048,0.700000,0.100000,55574,69853,0.152489,0.000000,193441440.000000,537.411974,1860769.853657,253.435500,17703230.000000,3945777.126547,211144670.000000,586.594444,1704755.322500,0.031754,0.047379
2048,0.700000,0.200000,55574,69853,0.249190,0.000000,193441440.000000,537.411974,1860769.853657,242.716705,16954490.000000,4120029.561491,210395930.000000,584.514321,1710822.067708,0.022194,0.037819
2048,0.700000,0.001000,55574,69853,0.056977,0.000000,193441440.000000,537.411974,1860769.853657,302.553935,21134300.000000,3305195.819119,214575740.000000,596.126518,1677496.253770,0.095253,0.110878
2048,0.800000,0.010000,76466,91026,0.048714,0.000000,193441440.000000,537.411974,1860769.853657,278.176016,25321250.000000,3594846.225996,218762690.000000,607.758550,1645390.262846,0.087379,0.103004
2048,0.800000,0.050000,76466,91026,0.086258,0.000000,193441440.000000,537.411974,1860769.853657,264.930459,24115560.000000,3774575.419356,217557000.000000,604.408946,1654508.933291,0.056839,0.072464
2048,0.800000,0.100000,76466,91026,0.135634,0.000000,193441440.000000,537.411974,1860769.853657,251.784985,22918980.000000,3971642.717084,216360420.000000,601.084651,1663659.184984,0.043694,0.059319
2048,0.800000,0.200000,76466,91026,0.233261,0.000000,193441440.000000,537.411974,1860769.853657,243.907235,22201900.000000,4099919.376270,215643340.000000,599.092485,1669191.360141,0.030540,0.046165
2048,0.800000,0.001000,76466,91026,0.038469,0.000000,193441440.000000,537.411974,1860769.853657,306.772131,27924240.000000,3259748.519566,221365680.000000,614.990082,1626042.483189,0.131065,0.146690
2048,0.900000,0.010000,112159,127007,0.028026,0.000000,193441440.000000,537.411974,1860769.853657,275.624887,35006290.000000,3628119.403684,228447730.000000,634.665176,1575633.953553,0.128159,0.143784
2048,0.900000,0.050000,112159,127007,0.070923,0.000000,193441440.000000,537.411974,1860769.853657,260.441393,33077880.000000,3839635.430082,226519320.000000,629.307737,1589047.680348,0.083374,0.098999
2048,0.900000,0.100000,112159,127007,0.121819,0.000000,193441440.000000,537.411974,1860769.853657,250.261797,31785000.000000,3995815.636306,225226440.000000,625.715905,1598169.380114,0.064079,0.079704
2048,0.900000,0.200000,112159,127007,0.226585,0.000000,193441440.000000,537.411974,1860769.853657,243.418945,30915910.000000,4108143.671010,224357350.000000,623.301431,1604360.186996,0.044792,0.060417
2048,0.900000,0.001000,112159,127007,0.019301,0.000000,193441440.000000,537.411974,1860769.853657,305.563079,38808650.000000,3272646.690879,232250090.000000,645.228754,1549837.935477,0.192238,0.207863
2048,0.950000,0.010000,147177,162170,0.018574,0.000000,193441440.000000,537.411974,1860769.853657,277.501696,45002450.000000,3603581.582780,238443890.000000,662.436144,1509579.465425,0.168175,0.183800
2048,0.950000,0.050000,147177,162170,0.060414,0.000000,193441440.000000,537.411974,1860769.853657,258.900598,41985910.000000,3862486.248363,235427350.000000,654.055702,1528921.767161,0.109398,0.125023
2048,0.950000,0.100000,147177,162170,0.112235,0.000000,193441440.000000,537.411974,1860769.853657,253.322316,41081280.000000,3947540.096122,234522720.000000,651.542492,1534819.313029,0.084091,0.099716
2048,0.950000,0.200000,147177,162170,0.217199,0.000000,193441440.000000,537.411974,1860769.853657,240.740643,39040910.000000,4153847.848321,232482350.000000,645.874010,1548289.579833,0.058777,0.074402
2048,0.950000,0.001000,147177,162170,0.009584,0.000000,193441440.000000,537.411974,1860769.853657,310.378615,50334100.000000,3221871.454938,243775540.000000,677.248340,1476563.235179,0.252258,0.267883
2048,0.990000,0.010000,220974,236070,0.010642,0.000000,193441440.000000,537.411974,1860769.853657,280.687593,66261920.000000,3562679.741245,259703360.000000,721.498430,1386004.401329,0.252495,0.268120
2048,0.990000,0.050000,220974,236070,0.053011,0.000000,193441440.000000,537.411974,1860769.853657,261.292667,61683360.000000,3827126.148770,255124800.000000,708.778441,1410878.127097,0.164253,0.179878
2048,0.990000,0.100000,220974,236070,0.107079,0.000000,193441440.000000,537.411974,1860769.853657,249.667599,58939030.000000,4005325.503321,252380470.000000,701.154244,1426219.707095,0.126251,0.141876
2048,0.990000,0.200000,220974,236070,0.205565,0.000000,193441440.000000,537.411974,1860769.853657,240.411827,56754020.000000,4159529.139962,250195460.000000,695.083928,1438675.186192,0.088249,0.103874
2048,0.990000,0.001000,220974,236070,0.002578,0.000000,193441440.000000,537.411974,1860769.853657,312.304994,73725840.000000,3201998.105413,267167280.000000,742.234421,1347283.245164,0.378738,0.394363
4096,0.500000,0.010000,20249,34159,0.090422,0.000000,191589180.000000,532.266093,1878759.541640,287.743201,9829020.000000,3475321.039127,201418200.000000,559.572718,1787077.831100,0.023140,0.054390
4096,0.500000,0.050000,20249,34159,0.124397,0.000000,191589180.000000,532.266093,1878759.541640,275.375450,9406550.000000,3631405.775763,200995730.000000,558.399028,1790834.063987,0.015053,0.046303
