n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,41594,54591,0.148457,0.000000,211748990.000000,588.273344,1699890.044340,293.064425,15998680.000000,3412219.008068,227747670.000000,632.720294,1580477.200930,0.047531,0.055344
1024,0.500000,0.050000,41594,54591,0.182894,0.000000,211748990.000000,588.273344,1699890.044340,270.607792,14772750.000000,3695385.084023,226521740.000000,629.314460,1589030.704073,0.030922,0.038734
1024,0.500000,0.100000,41594,54591,0.228435,0.000000,211748990.000000,588.273344,1699890.044340,263.902658,14406710.000000,3789275.969323,226155700.000000,628.297541,1591602.599448,0.023766,0.031578
1024,0.500000,0.200000,41594,54591,0.315883,0.000000,211748990.000000,588.273344,1699890.044340,285.871847,15606030.000000,3498070.937964,227355020.000000,631.629449,1583206.739838,0.016617,0.024429
1024,0.500000,0.001000,41594,54591,0.141781,0.000000,211748990.000000,588.273344,1699890.044340,311.133154,16985070.000000,3214057.993285,228734060.000000,635.460647,1573661.570122,0.071297,0.079109
1024,0.600000,0.010000,57808,71363,0.113028,0.000000,211748990.000000,588.273344,1699890.044340,284.028838,20269150.000000,3520769.247847,232018140.000000,644.584359,1551387.318250,0.066055,0.073868
1024,0.600000,0.050000,57808,71363,0.149845,0.000000,211748990.000000,588.273344,1699890.044340,266.790774,19038990.000000,3748255.553472,230787980.000000,641.166773,1559656.616432,0.042969,0.050781
1024,0.600000,0.100000,57808,71363,0.193602,0.000000,211748990.000000,588.273344,1699890.044340,257.410423,18369580.000000,3884846.577875,230118570.000000,639.307043,1564193.624183,0.033028,0.040840
1024,0.600000,0.200000,57808,71363,0.290502,0.000000,211748990.000000,588.273344,1699890.044340,256.346146,18293630.000000,3900975.366835,230042620.000000,639.096041,1564710.052424,0.023087,0.030899
1024,0.600000,0.001000,57808,71363,0.104832,0.000000,211748990.000000,588.273344,1699890.044340,307.224472,21924460.000000,3254949.038654,233673450.000000,649.183081,1540397.507719,0.099083,0.106895
1024,0.700000,0.010000,78979,93025,0.081896,0.000000,211748990.000000,588.273344,1699890.044340,306.642945,28525460.000000,3261121.818894,240274450.000000,667.521739,1498078.551423,0.090248,0.098061
1024,0.700000,0.050000,78979,93025,0.118977,0.000000,211748990.000000,588.273344,1699890.044340,267.816501,24913630.000000,3733899.877296,236662620.000000,657.487484,1520941.498915,0.058708,0.066521
1024,0.700000,0.100000,78979,93025,0.168220,0.000000,211748990.000000,588.273344,1699890.044340,270.026015,25119170.000000,3703346.886064,236868160.000000,658.058508,1519621.716992,0.045128,0.052940
1024,0.700000,0.200000,78979,93025,0.265913,0.000000,211748990.000000,588.273344,1699890.044340,255.301048,23749380.000000,3916944.358126,235498370.000000,654.253007,1528460.685312,0.031540,0.039352
1024,0.700000,0.001000,78979,93025,0.072378,0.000000,211748990.000000,588.273344,1699890.044340,313.247084,29139810.000000,3192368.103979,240888800.000000,669.228504,1494257.931460,0.135368,0.143181
