n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,50837,63155,0.193139,0.000000,35704900.000000,99.194055,10081249.352330,139.029372,8780400.000000,7192724.705025,2699175400.000000,7498.750938,133355.542585,2743660700.000000,7622.338380,131193.335969,0.058090,0.065903
1024,0.500000,0.050000,50837,63155,0.228171,0.000000,35704900.000000,99.194055,10081249.352330,115.799224,7313300.000000,8635636.443193,2699175400.000000,7498.750938,133355.542585,2742193600.000000,7618.262536,131263.525668,0.037788,0.045601
1024,0.500000,0.100000,50837,63155,0.267962,0.000000,35704900.000000,99.194055,10081249.352330,110.813079,6998400.000000,9024205.532693,2699175400.000000,7498.750938,133355.542585,2741878700.000000,7617.387693,131278.601056,0.029045,0.036858
1024,0.500000,0.200000,50837,63155,0.356864,0.000000,35704900.000000,99.194055,10081249.352330,98.901116,6246100.000000,10111109.332223,2699175400.000000,7498.750938,133355.542585,2741126400.000000,7615.297680,131314.630365,0.020302,0.028114
1024,0.500000,0.001000,50837,63155,0.186463,0.000000,35704900.000000,99.194055,10081249.352330,158.994537,10041300.000000,6289524.264786,2699175400.000000,7498.750938,133355.542585,2744921600.000000,7625.841367,131133.071342,0.087135,0.094948
1024,0.600000,0.010000,71955,85016,0.144755,0.000000,35704900.000000,99.194055,10081249.352330,136.577821,11611300.000000,7321833.041951,2699175400.000000,7498.750938,133355.542585,2746491600.000000,7630.203084,131058.110646,0.082222,0.090034
1024,0.600000,0.050000,71955,85016,0.181638,0.000000,35704900.000000,99.194055,10081249.352330,116.436906,9899000.000000,8588342.256794,2699175400.000000,7498.750938,133355.542585,2744779300.000000,7625.446034,131139.869788,0.053490,0.061302
1024,0.600000,0.100000,71955,85016,0.221561,0.000000,35704900.000000,99.194055,10081249.352330,106.975158,9094600.000000,9347964.726321,2699175400.000000,7498.750938,133355.542585,2743974900.000000,7623.211279,131178.313621,0.041115,0.048927
1024,0.600000,0.200000,71955,85016,0.316809,0.000000,35704900.000000,99.194055,10081249.352330,98.150936,8344400.000000,10188389.818321,2699175400.000000,7498.750938,133355.542585,2743224700.000000,7621.127101,131214.187449,0.028740,0.036552
1024,0.600000,0.001000,71955,85016,0.137418,0.000000,35704900.000000,99.194055,10081249.352330,161.921285,13765900.000000,6175840.301034,2699175400.000000,7498.750938,133355.542585,2748646200.000000,7636.188915,130955.377233,0.123329,0.131142
1024,0.700000,0.010000,100340,114066,0.101329,0.000000,35704900.000000,99.194055,10081249.352330,136.099276,15524300.000000,7347577.668558,2699175400.000000,7498.750938,133355.542585,2750404600.000000,7641.074038,130871.654301,0.114655,0.122467
1024,0.700000,0.050000,100340,114066,0.140062,0.000000,35704900.000000,99.194055,10081249.352330,116.998930,13345600.000000,8547086.680254,2699175400.000000,7498.750938,133355.542585,2748225900.000000,7635.021253,130975.404897,0.074585,0.082397
1024,0.700000,0.100000,100340,114066,0.187917,0.000000,35704900.000000,99.194055,10081249.352330,110.988375,12660000.000000,9009952.606635,2699175400.000000,7498.750938,133355.542585,2747540300.000000,7633.116544,131008.087488,0.057327,0.065140
1024,0.700000,0.200000,100340,114066,0.275167,0.000000,35704900.000000,99.194055,10081249.352330,97.248961,11092800.000000,10282886.196452,2699175400.000000,7498.750938,133355.542585,2745973100.000000,7628.762606,131082.857294,0.040070,0.047882
1024,0.700000,0.001000,100340,114066,0.093992,0.000000,35704900.000000,99.194055,10081249.352330,164.221591,18732100.000000,6089333.283508,2699175400.000000,7498.750938,133355.542585,2753612400.000000,7649.985831,130719.196355,0.171982,0.179794
1024,0.800000,0.010000,140652,154958,0.065305,0.000000,35704900.000000,99.194055,10081249.352330,136.809329,21199700.000000,7309443.058156,2699175400.000000,7498.750938,133355.542585,2756080000.000000,7656.841228,130602.159589,0.160713,0.168526
1024,0.800000,0.050000,140652,154958,0.101923,0.000000,35704900.000000,99.194055,10081249.352330,116.573523,18064000.000000,8578277.236492,2699175400.000000,7498.750938,133355.542585,2752944300.000000,7648.129740,130750.920024,0.104553,0.112366
1024,0.800000,0.100000,140652,154958,0.153017,0.000000,35704900.000000,99.194055,10081249.352330,107.414912,16644800.000000,9309694.318946,2699175400.000000,7498.750938,133355.542585,2751525100.000000,7644.186970,130818.359607,0.080360,0.088173
1024,0.800000,0.200000,140652,154958,0.246679,0.000000,35704900.000000,99.194055,10081249.352330,96.868829,15010600.000000,10323238.244974,2699175400.000000,7498.750938,133355.542585,2749890900.000000,7639.646895,130896.102096,0.056168,0.063980
1024,0.800000,0.001000,140652,154958,0.055787,0.000000,35704900.000000,99.194055,10081249.352330,166.649673,25823700.000000,6000611.841061,2699175400.000000,7498.750938,133355.542585,2760704000.000000,7669.687457,130383.409449,0.241074,0.248886
1024,0.900000,0.010000,205034,219867,0.030141,0.000000,35704900.000000,99.194055,10081249.352330,138.863495,30531500.000000,7201316.672944,2699175400.000000,7498.750938,133355.542585,2765411800.000000,7682.766495,130161.446480,0.234283,0.242096
1024,0.900000,0.050000,205034,219867,0.069866,0.000000,35704900.000000,99.194055,10081249.352330,116.520442,25619000.000000,8582185.096998,2699175400.000000,7498.750938,133355.542585,2760499300.000000,7669.118766,130393.077803,0.152405,0.160217
1024,0.900000,0.100000,205034,219867,0.118514,0.000000,35704900.000000,99.194055,10081249.352330,107.867484,23716500.000000,9270634.368478,2699175400.000000,7498.750938,133355.542585,2758596800.000000,7663.833310,130483.004983,0.117142,0.124954
1024,0.900000,0.200000,205034,219867,0.220834,0.000000,35704900.000000,99.194055,10081249.352330,95.336271,20961300.000000,10489187.216442,2699175400.000000,7498.750938,133355.542585,2755841600.000000,7656.178914,130613.457609,0.081879,0.089691
1024,0.900000,0.001000,205034,219867,0.020424,0.000000,35704900.000000,99.194055,10081249.352330,169.819482,37337700.000000,5888605.886276,2699175400.000000,7498.750938,133355.542585,2772218000.000000,7701.675233,129841.881122,0.351418,0.359230
1024,0.950000,0.010000,260339,275356,0.017780,0.000000,35704900.000000,99.194055,10081249.352330,140.535162,38697200.000000,7115656.946756,2699175400.000000,7498.750938,133355.542585,2773577500.000000,7705.452146,129778.237673,0.297478,0.305290
1024,0.950000,0.050000,260339,275356,0.055655,0.000000,35704900.000000,99.194055,10081249.352330,118.824721,32719100.000000,8415757.157135,2699175400.000000,7498.750938,133355.542585,2767599400.000000,7688.844006,130058.562666,0.193512,0.201324
1024,0.950000,0.100000,260339,275356,0.111376,0.000000,35704900.000000,99.194055,10081249.352330,109.066082,30032000.000000,9168753.329782,2699175400.000000,7498.750938,133355.542585,2764912300.000000,7681.378803,130184.961020,0.148743,0.156555
1024,0.950000,0.200000,260339,275356,0.212638,0.000000,35704900.000000,99.194055,10081249.352330,96.270283,26508600.000000,10387421.440589,2699175400.000000,7498.750938,133355.542585,2761388900.000000,7671.590221,130351.070796,0.103966,0.111778
1024,0.950000,0.001000,260339,275356,0.008262,0.000000,35704900.000000,99.194055,10081249.352330,169.228562,46598100.000000,5909167.970368,2699175400.000000,7498.750938,133355.542585,2781478400.000000,7727.402139,129409.597428,0.446213,0.454025
1024,0.990000,0.010000,326244,341367,0.011105,0.000000,35704900.000000,99.194055,10081249.352330,140.493076,47959700.000000,7117788.476575,2699175400.000000,7498.750938,133355.542585,2782840000.000000,7731.184887,129346.279341,0.372780,0.380592
1024,0.990000,0.050000,326244,341367,0.048120,0.000000,35704900.000000,99.194055,10081249.352330,118.603439,40487300.000000,8431458.753733,2699175400.000000,7498.750938,133355.542585,2775367600.000000,7710.425337,129694.531276,0.242500,0.250313
1024,0.990000,0.100000,326244,341367,0.101990,0.000000,35704900.000000,99.194055,10081249.352330,109.360600,37332100.000000,9144061.009158,2699175400.000000,7498.750938,133355.542585,2772212400.000000,7701.659675,129842.143409,0.186394,0.194206
1024,0.990000,0.200000,326244,341367,0.213431,0.000000,35704900.000000,99.194055,10081249.352330,96.617131,32981900.000000,10350131.435727,2699175400.000000,7498.750938,133355.542585,2767862200.000000,7689.574108,130046.214006,0.130280,0.138092
1024,0.990000,0.001000,326244,341367,0.001983,0.000000,35704900.000000,99.194055,10081249.352330,173.967900,59386900.000000,5748186.889701,2699175400.000000,7498.750938,133355.542585,2794267200.000000,7762.931518,128817.315681,0.559166,0.566978
2048,0.500000,0.010000,40937,53768,0.160883,0.000000,35032100.000000,97.324906,10274862.197813,134.704657,7242800.000000,7423648.312807,2708409700.000000,7524.405334,132900.867989,2750684600.000000,7641.851924,130858.332504,0.046776,0.062401
2048,0.500000,0.050000,40937,53768,0.195386,0.000000,35032100.000000,97.324906,10274862.197813,113.282994,6091000.000000,8827450.336562,2708409700.000000,7524.405334,132900.867989,2749532800.000000,7638.652035,130913.150045,0.030434,0.046059
2048,0.500000,0.100000,40937,53768,0.236103,0.000000,35032100.000000,97.324906,10274862.197813,114.406338,6151400.000000,8740774.457847,2708409700.000000,7524.405334,132900.867989,2749593200.000000,7638.819836,130910.274291,0.023392,0.039017
2048,0.500000,0.200000,40937,53768,0.325402,0.000000,35032100.000000,97.324906,10274862.197813,96.213361,5173200.000000,10393566.844506,2708409700.000000,7524.405334,132900.867989,2748615000.000000,7636.102236,130956.863730,0.016350,0.031975
2048,0.500000,0.001000,40937,53768,0.152555,0.000000,35032100.000000,97.324906,10274862.197813,154.342732,8298700.000000,6479087.085929,2708409700.000000,7524.405334,132900.867989,2751740500.000000,7644.785387,130808.119443,0.070168,0.085793
2048,0.600000,0.010000,57373,70802,0.121819,0.000000,35032100.000000,97.324906,10274862.197813,131.047146,9278400.000000,7630841.524401,2708409700.000000,7524.405334,132900.867989,2752720200.000000,7647.507154,130761.564506,0.065559,0.081184
2048,0.600000,0.050000,57373,70802,0.159297,0.000000,35032100.000000,97.324906,10274862.197813,119.433067,8456100.000000,8372890.576034,2708409700.000000,7524.405334,132900.867989,2751897900.000000,7645.222670,130800.637625,0.042648,0.058273
2048,0.600000,0.100000,57373,70802,0.204376,0.000000,35032100.000000,97.324906,10274862.197813,105.186294,7447400.000000,9506942.020034,2708409700.000000,7524.405334,132900.867989,2750889200.000000,7642.420336,130848.599791,0.032784,0.048409
2048,0.600000,0.200000,57373,70802,0.296847,0.000000,35032100.000000,97.324906,10274862.197813,98.128584,6947700.000000,10190710.594873,2708409700.000000,7524.405334,132900.867989,2750389500.000000,7641.032088,130872.372804,0.022911,0.038536
2048,0.600000,0.001000,57373,70802,0.113557,0.000000,35032100.000000,97.324906,10274862.197813,157.246970,11133400.000000,6359422.997467,2708409700.000000,7524.405334,132900.867989,2754575200.000000,7652.660647,130673.506390,0.098335,0.113960
2048,0.700000,0.010000,80441,94396,0.086787,0.000000,35032100.000000,97.324906,10274862.197813,135.030086,12746300.000000,7405756.964766,2708409700.000000,7524.405334,132900.867989,2756188100.000000,7657.141547,130597.037263,0.091919,0.107544
2048,0.700000,0.050000,80441,94396,0.123538,0.000000,35032100.000000,97.324906,10274862.197813,114.976270,10853300.000000,8697446.859481,2708409700.000000,7524.405334,132900.867989,2754295100.000000,7651.882484,130686.795326,0.059792,0.075417
2048,0.700000,0.100000,80441,94396,0.172054,0.000000,35032100.000000,97.324906,10274862.197813,107.877452,10183200.000000,9269777.673030,2708409700.000000,7524.405334,132900.867989,2753625000.000000,7650.020836,130718.598211,0.045959,0.061584
2048,0.700000,0.200000,80441,94396,0.268160,0.000000,35032100.000000,97.324906,10274862.197813,107.823425,10178100.000000,9274422.534658,2708409700.000000,7524.405334,132900.867989,2753619900.000000,7650.006668,130718.840316,0.032127,0.047752
2048,0.700000,0.001000,80441,94396,0.078525,0.000000,35032100.000000,97.324906,10274862.197813,166.268698,15695100.000000,6014361.170047,2708409700.000000,7524.405334,132900.867989,2759136900.000000,7665.333796,130457.462984,0.137878,0.153503
2048,0.800000,0.010000,113297,127756,0.052945,0.000000,35032100.000000,97.324906,10274862.197813,134.940825,17239500.000000,7410655.761478,2708409700.000000,7524.405334,132900.867989,2760681300.000000,7669.624392,130384.481541,0.129463,0.145088
2048,0.800000,0.050000,113297,127756,0.090621,0.000000,35032100.000000,97.324906,10274862.197813,117.804252,15050200.000000,8488657.958034,2708409700.000000,7524.405334,132900.867989,2758492000.000000,7663.542159,130487.962263,0.084221,0.099846
2048,0.800000,0.100000,113297,127756,0.142243,0.000000,35032100.000000,97.324906,10274862.197813,106.776981,13641400.000000,9365314.410544,2708409700.000000,7524.405334,132900.867989,2757083200.000000,7659.628282,130554.638322,0.064735,0.080360
2048,0.800000,0.200000,113297,127756,0.237028,0.000000,35032100.000000,97.324906,10274862.197813,96.452613,12322400.000000,10367785.496332,2708409700.000000,7524.405334,132900.867989,2755764200.000000,7655.963884,130617.126095,0.045250,0.060875
2048,0.800000,0.001000,113297,127756,0.045079,0.000000,35032100.000000,97.324906,10274862.197813,164.737468,21046200.000000,6070264.465794,2708409700.000000,7524.405334,132900.867989,2764488000.000000,7680.200028,130204.942109,0.194191,0.209816
2048,0.900000,0.010000,166287,181148,0.027299,0.000000,35032100.000000,97.324906,10274862.197813,136.911807,24801300.000000,7303971.969211,2708409700.000000,7524.405334,132900.867989,2768243100.000000,7690.632310,130028.320128,0.190010,0.205635
2048,0.900000,0.050000,166287,181148,0.067222,0.000000,35032100.000000,97.324906,10274862.197813,115.896394,20994400.000000,8628396.143734,2708409700.000000,7524.405334,132900.867989,2764436200.000000,7680.056119,130207.381889,0.123604,0.139229
2048,0.900000,0.100000,166287,181148,0.119704,0.000000,35032100.000000,97.324906,10274862.197813,105.667189,19141400.000000,9463675.593217,2708409700.000000,7524.405334,132900.867989,2762583200.000000,7674.908182,130294.718364,0.095009,0.110634
2048,0.900000,0.200000,166287,181148,0.221165,0.000000,35032100.000000,97.324906,10274862.197813,97.580431,17676500.000000,10247956.326196,2708409700.000000,7524.405334,132900.867989,2761118300.000000,7670.838450,130363.845693,0.066406,0.082031
2048,0.900000,0.001000,166287,181148,0.018970,0.000000,35032100.000000,97.324906,10274862.197813,166.743768,30205300.000000,5997225.652452,2708409700.000000,7524.405334,132900.867989,2773647100.000000,7705.645506,129774.981107,0.285011,0.300636
2048,0.950000,0.010000,215037,230068,0.015665,0.000000,35032100.000000,97.324906,10274862.197813,140.185076,32252100.000000,7133426.970647,2708409700.000000,7524.405334,132900.867989,2775693900.000000,7711.331852,129679.284881,0.245712,0.261337
2048,0.950000,0.050000,215037,230068,0.056911,0.000000,35032100.000000,97.324906,10274862.197813,116.781995,26867800.000000,8562963.845198,2708409700.000000,7524.405334,132900.867989,2770309600.000000,7696.373385,129931.326087,0.159843,0.175468
2048,0.950000,0.100000,215037,230068,0.107145,0.000000,35032100.000000,97.324906,10274862.197813,109.143818,25110500.000000,9162222.974453,2708409700.000000,7524.405334,132900.867989,2768552300.000000,7691.491318,130013.798186,0.122856,0.138481
2048,0.950000,0.200000,215037,230068,0.215678,0.000000,35032100.000000,97.324906,10274862.197813,97.151712,22351500.000000,10293179.428674,2708409700.000000,7524.405334,132900.867989,2765793300.000000,7683.826365,130143.492646,0.085876,0.101501
2048,0.950000,0.001000,215037,230068,0.007601,0.000000,35032100.000000,97.324906,10274862.197813,167.816472,38609200.000000,5958890.627104,2708409700.000000,7524.405334,132900.867989,2782051000.000000,7728.992916,129382.962426,0.368568,0.384193
2048,0.990000,0.010000,301303,316420,0.010642,0.000000,35032100.000000,97.324906,10274862.197813,140.301182,44394100.000000,7127523.702474,2708409700.000000,7524.405334,132900.867989,2787835900.000000,7745.064314,129114.486258,0.344284,0.359909
2048,0.990000,0.050000,301303,316420,0.050763,0.000000,35032100.000000,97.324906,10274862.197813,117.799128,37274000.000000,8489027.203949,2708409700.000000,7524.405334,132900.867989,2780715800.000000,7725.283512,129445.087484,0.223961,0.239586
2048,0.990000,0.100000,301303,316420,0.103576,0.000000,35032100.000000,97.324906,10274862.197813,108.127173,34213600.000000,9248369.069610,2708409700.000000,7524.405334,132900.867989,2777655400.000000,7716.781220,129587.709116,0.172142,0.187767
2048,0.990000,0.200000,301303,316420,0.215018,0.000000,35032100.000000,97.324906,10274862.197813,96.498641,30534100.000000,10362840.234361,2708409700.000000,7524.405334,132900.867989,2773975900.000000,7706.558967,129759.598849,0.120323,0.135948
2048,0.990000,0.001000,301303,316420,0.001917,0.000000,35032100.000000,97.324906,10274862.197813,172.295367,54517700.000000,5803986.595179,2708409700.000000,7524.405334,132900.867989,2797959500.000000,7773.189332,128647.323165,0.516418,0.532043
4096,0.500000,0.010000,31585,44817,0.133386,0.000000,34417200.000000,95.616613,10458433.573911,128.899748,5776900.000000,7757967.075767,2711933100.000000,7534.193916,132728.200412,2752127200.000000,7645.859703,130789.739660,0.036095,0.067345
4096,0.500000,0.050000,31585,44817,0.168484,0.000000,34417200.000000,95.616613,10458433.573911,115.072406,5157200.000000,8690180.718219,2711933100.000000,7534.193916,132728.200412,2751507500.000000,7644.138075,130819.196386,0.023483,0.054733
4096,0.500000,0.100000,31585,44817,0.210589,0.000000,34417200.000000,95.616613,10458433.573911,107.602026,4822400.000000,9293505.308560,2711933100.000000,7534.193916,132728.200412,2751172700.000000,7643.207946,130835.116240,0.018051,0.049301
4096,0.500000,0.200000,31585,44817,0.303060,0.000000,34417200.000000,95.616613,10458433.573911,96.345137,4317900.000000,10379351.073438,2711933100.000000,7534.193916,132728.200412,2750668200.000000,7641.806362,130859.112706,0.012619,0.043869
4096,0.500000,0.001000,31585,44817,0.126380,0.000000,34417200.000000,95.616613,10458433.573911,155.728853,6979300.000000,6421417.620678,2711933100.000000,7534.193916,132728.200412,2753329600.000000,7649.200167,130732.622785,0.054138,0.085388
4096,0.600000,0.010000,45582,59329,0.099941,0.000000,34417200.000000,95.616613,10458433.573911,150.063207,8903100.000000,6663858.655974,2711933100.000000,7534.193916,132728.200412,2755253400.000000,7654.544798,130641.341374,0.052086,0.083336
4096,0.600000,0.050000,45582,59329,0.136228,0.000000,34417200.000000,95.616613,10458433.573911,116.366364,6903900.000000,8593548.573994,2711933100.000000,7534.193916,132728.200412,2753254200.000000,7648.990693,130736.202999,0.033882,0.065132
4096,0.600000,0.100000,45582,59329,0.182233,0.000000,34417200.000000,95.616613,10458433.573911,104.046925,6173000.000000,9611048.112749,2711933100.000000,7534.193916,132728.200412,2752523300.000000,7646.960133,130770.918451,0.026047,0.057297
4096,0.600000,0.200000,45582,59329,0.283429,0.000000,34417200.000000,95.616613,10458433.573911,96.219387,5708600.000000,10392915.951372,2711933100.000000,7534.193916,132728.200412,2752058900.000000,7645.669954,130792.985572,0.018204,0.049454
4096,0.600000,0.001000,45582,59329,0.092009,0.000000,34417200.000000,95.616613,10458433.573911,158.450336,9400700.000000,6311125.767230,2711933100.000000,7534.193916,132728.200412,2755751000.000000,7655.927212,130617.751749,0.078125,0.109375
4096,0.700000,0.010000,65013,79202,0.071320,0.000000,34417200.000000,95.616613,10458433.573911,130.077523,10302400.000000,7687723.248952,2711933100.000000,7534.193916,132728.200412,2756652700.000000,7658.432282,130575.026734,0.074287,0.105537
4096,0.700000,0.050000,65013,79202,0.112565,0.000000,34417200.000000,95.616613,10458433.573911,117.933891,9340600.000000,8479326.809841,2711933100.000000,7534.193916,132728.200412,2755690900.000000,7655.760244,130620.600445,0.048325,0.079575
4096,0.700000,0.100000,65013,79202,0.159429,0.000000,34417200.000000,95.616613,10458433.573911,104.464534,8273800.000000,9572626.846189,2711933100.000000,7534.193916,132728.200412,2754624100.000000,7652.796500,130671.186678,0.037148,0.068398
4096,0.700000,0.200000,65013,79202,0.262013,0.000000,34417200.000000,95.616613,10458433.573911,95.685715,7578500.000000,10450880.781157,2711933100.000000,7534.193916,132728.200412,2753928800.000000,7650.864842,130704.177973,0.025963,0.057213
4096,0.700000,0.001000,65013,79202,0.063190,0.000000,34417200.000000,95.616613,10458433.573911,159.949244,12668300.000000,6251983.296891,2711933100.000000,7534.193916,132728.200412,2759018600.000000,7665.005140,130463.056683,0.111435,0.142685
4096,0.800000,0.010000,92709,107299,0.046004,0.000000,34417200.000000,95.616613,10458433.573911,135.276191,14515000.000000,7392283.844299,2711933100.000000,7534.193916,132728.200412,2760865300.000000,7670.135574,130375.791966,0.105934,0.137184
4096,0.800000,0.050000,92709,107299,0.085597,0.000000,34417200.000000,95.616613,10458433.573911,117.427935,12599900.000000,8515861.236994,2711933100.000000,7534.193916,132728.200412,2758950200.000000,7664.815113,130466.291128,0.068916,0.100166
4096,0.800000,0.100000,92709,107299,0.134642,0.000000,34417200.000000,95.616613,10458433.573911,108.360749,11627000.000000,9228433.817838,2711933100.000000,7534.193916,132728.200412,2757977300.000000,7662.112238,130512.314224,0.052971,0.084221
4096,0.800000,0.200000,92709,107299,0.237623,0.000000,34417200.000000,95.616613,10458433.573911,97.986002,10513800.000000,10205539.386330,2711933100.000000,7534.193916,132728.200412,2756864100.000000,7659.019586,130565.014068,0.037025,0.068275
4096,0.800000,0.001000,92709,107299,0.036618,0.000000,34417200.000000,95.616613,10458433.573911,159.879402,17154900.000000,6254714.396470,2711933100.000000,7534.193916,132728.200412,2763505200.000000,7677.469649,130251.247582,0.158905,0.190155
4096,0.900000,0.010000,138501,153392,0.024522,0.000000,34417200.000000,95.616613,10458433.573911,139.198263,21351900.000000,7183997.677022,2711933100.000000,7534.193916,132728.200412,2767702200.000000,7689.129601,130053.731937,0.158257,0.189507
4096,0.900000,0.050000,138501,153392,0.064512,0.000000,34417200.000000,95.616613,10458433.573911,114.945369,17631700.000000,8699785.046252,2711933100.000000,7534.193916,132728.200412,2763982000.000000,7678.794277,130228.778624,0.102951,0.134201
4096,0.900000,0.100000,138501,153392,0.111442,0.000000,34417200.000000,95.616613,10458433.573911,108.540863,16649300.000000,9213120.071114,2711933100.000000,7534.193916,132728.200412,2762999600.000000,7676.065009,130275.082197,0.079132,0.110382
4096,0.900000,0.200000,138501,153392,0.217067,0.000000,34417200.000000,95.616613,10458433.573911,98.679201,15136600.000000,10133847.759735,2711933100.000000,7534.193916,132728.200412,2761486900.000000,7671.862481,130346.444881,0.055313,0.086563
4096,0.900000,0.001000,138501,153392,0.016789,0.000000,34417200.000000,95.616613,10458433.573911,173.549468,26621100.000000,5762045.895925,2711933100.000000,7534.193916,132728.200412,2772971400.000000,7703.768301,129806.603847,0.237389,0.268639
4096,0.950000,0.010000,182725,197751,0.016326,0.000000,34417200.000000,95.616613,10458433.573911,140.479188,27779900.000000,7118492.147200,2711933100.000000,7534.193916,132728.200412,2774130200.000000,7706.987637,129752.381485,0.208794,0.240044
4096,0.950000,0.050000,182725,197751,0.057902,0.000000,34417200.000000,95.616613,10458433.573911,115.206497,22782200.000000,8680066.016451,2711933100.000000,7534.193916,132728.200412,2769132500.000000,7693.103209,129986.557162,0.135826,0.167076
4096,0.950000,0.100000,182725,197751,0.113028,0.000000,34417200.000000,95.616613,10458433.573911,105.461414,20855100.000000,9482141.059022,2711933100.000000,7534.193916,132728.200412,2767205400.000000,7687.749410,130077.080653,0.104401,0.135651
4096,0.950000,0.200000,182725,197751,0.211514,0.000000,34417200.000000,95.616613,10458433.573911,97.952981,19370300.000000,10208979.726695,2711933100.000000,7534.193916,132728.200412,2765720600.000000,7683.624392,130146.913611,0.072975,0.104225
4096,0.950000,0.001000,182725,197751,0.007800,0.000000,34417200.000000,95.616613,10458433.573911,168.165521,33254900.000000,5946522.166658,2711933100.000000,7534.193916,132728.200412,2779605200.000000,7722.198083,129496.807676,0.313187,0.344437
4096,0.990000,0.010000,274893,290012,0.010047,0.000000,34417200.000000,95.616613,10458433.573911,141.555522,41052800.000000,7064365.889781,2711933100.000000,7534.193916,132728.200412,2787403100.000000,7743.861925,129134.533861,0.314102,0.345352
4096,0.990000,0.050000,274893,290012,0.052746,0.000000,34417200.000000,95.616613,10458433.573911,117.639960,34117000.000000,8500512.940763,2711933100.000000,7534.193916,132728.200412,2780467300.000000,7724.593138,129456.656440,0.204330,0.235580
4096,0.990000,0.100000,274893,290012,0.102518,0.000000,34417200.000000,95.616613,10458433.573911,107.551067,31191100.000000,9297908.698315,2711933100.000000,7534.193916,132728.200412,2777541400.000000,7716.464509,129593.027848,0.157051,0.188301
4096,0.990000,0.200000,274893,290012,0.206821,0.000000,34417200.000000,95.616613,10458433.573911,96.422907,27963800.000000,10370979.623656,2711933100.000000,7534.193916,132728.200412,2774314100.000000,7707.498541,129743.780634,0.109779,0.141029
4096,0.990000,0.001000,274893,290012,0.001785,0.000000,34417200.000000,95.616613,10458433.573911,170.832241,49543400.000000,5853695.951428,2711933100.000000,7534.193916,132728.200412,2795893700.000000,7767.450201,128742.376722,0.471153,0.502403
16384,0.500000,0.010000,17344,31070,0.100734,0.000000,34158700.000000,94.898458,10537579.006227,134.467332,4177900.000000,7436750.520596,2808651800.000000,7802.894291,128157.573680,2846988400.000000,7909.399639,126431.846368,0.019821,0.144821
16384,0.500000,0.050000,17344,31070,0.141582,0.000000,34158700.000000,94.898458,10537579.006227,113.356936,3522000.000000,8821692.220329,2808651800.000000,7802.894291,128157.573680,2846332500.000000,7907.577441,126460.980929,0.012894,0.137894
16384,0.500000,0.100000,17344,31070,0.186860,0.000000,34158700.000000,94.898458,10537579.006227,109.604120,3405400.000000,9123744.640865,2808651800.000000,7802.894291,128157.573680,2846215900.000000,7907.253507,126466.161615,0.009911,0.134911
16384,0.500000,0.200000,17344,31070,0.273779,0.000000,34158700.000000,94.898458,10537579.006227,97.924042,3042500.000000,10211996.713229,2808651800.000000,7802.894291,128157.573680,2845853000.000000,7906.245312,126482.288439,0.006927,0.131927
16384,0.500000,0.001000,17344,31070,0.093595,0.000000,34158700.000000,94.898458,10537579.006227,142.906341,4440100.000000,6997590.144366,2808651800.000000,7802.894291,128157.573680,2847250600.000000,7910.128073,126420.203406,0.029732,0.154732
