n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,50837,63155,0.193139,0.000000,35964100.000000,99.914155,10008591.901368,135.731138,8572100.000000,7367506.212013,2781102900.000000,7726.358939,129427.070102,2825639100.000000,7850.087790,127387.110406,0.058090,0.065903
1024,0.500000,0.050000,50837,63155,0.228171,0.000000,35964100.000000,99.914155,10008591.901368,120.262845,7595200.000000,8315120.075837,2781102900.000000,7726.358939,129427.070102,2824662200.000000,7847.373802,127431.166814,0.037788,0.045601
1024,0.500000,0.100000,50837,63155,0.267962,0.000000,35964100.000000,99.914155,10008591.901368,107.677935,6800400.000000,9286953.708605,2781102900.000000,7726.358939,129427.070102,2823867400.000000,7845.165717,127467.033332,0.029045,0.036858
1024,0.500000,0.200000,50837,63155,0.356864,0.000000,35964100.000000,99.914155,10008591.901368,107.956615,6818000.000000,9262980.346143,2781102900.000000,7726.358939,129427.070102,2823885000.000000,7845.214613,127466.238887,0.020302,0.028114
1024,0.500000,0.001000,50837,63155,0.186463,0.000000,35964100.000000,99.914155,10008591.901368,157.656559,9956800.000000,6342901.333762,2781102900.000000,7726.358939,129427.070102,2827023800.000000,7853.934713,127324.715130,0.087135,0.094948
1024,0.600000,0.010000,71955,85016,0.144755,0.000000,35964100.000000,99.914155,10008591.901368,135.488614,11518700.000000,7380694.001927,2781102900.000000,7726.358939,129427.070102,2828585700.000000,7858.273927,127254.408449,0.082222,0.090034
1024,0.600000,0.050000,71955,85016,0.181638,0.000000,35964100.000000,99.914155,10008591.901368,116.766256,9927000.000000,8564118.061852,2781102900.000000,7726.358939,129427.070102,2826994000.000000,7853.851924,127326.057289,0.053490,0.061302
1024,0.600000,0.100000,71955,85016,0.221561,0.000000,35964100.000000,99.914155,10008591.901368,106.290581,9036400.000000,9408171.395689,2781102900.000000,7726.358939,129427.070102,2826103400.000000,7851.377691,127366.182002,0.041115,0.048927
1024,0.600000,0.200000,71955,85016,0.316809,0.000000,35964100.000000,99.914155,10008591.901368,96.218359,8180100.000000,10393026.980110,2781102900.000000,7726.358939,129427.070102,2825247100.000000,7848.998750,127404.785231,0.028740,0.036552
1024,0.600000,0.001000,71955,85016,0.137418,0.000000,35964100.000000,99.914155,10008591.901368,161.573116,13736300.000000,6189148.460648,2781102900.000000,7726.358939,129427.070102,2830803300.000000,7864.434783,127154.719651,0.123329,0.131142
