n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,41594,54591,0.148457,0.000000,208877810.000000,580.296736,1723256.290364,288.907695,15771760.000000,3461313.131825,224649570.000000,624.113266,1602273.264979,0.047531,0.055344
1024,0.500000,0.050000,41594,54591,0.182894,0.000000,208877810.000000,580.296736,1723256.290364,269.862798,14732080.000000,3705586.719594,223609890.000000,621.224865,1609723.076202,0.030922,0.038734
1024,0.500000,0.100000,41594,54591,0.228435,0.000000,208877810.000000,580.296736,1723256.290364,264.562840,14442750.000000,3779820.325077,223320560.000000,620.421058,1611808.603740,0.023766,0.031578
1024,0.500000,0.200000,41594,54591,0.315883,0.000000,208877810.000000,580.296736,1723256.290364,255.887051,13969130.000000,3907974.226026,222846940.000000,619.105265,1615234.205145,0.016617,0.024429
1024,0.500000,0.001000,41594,54591,0.141781,0.000000,208877810.000000,580.296736,1723256.290364,304.090601,16600610.000000,3288493.615596,225478420.000000,626.415947,1596383.370080,0.071297,0.079109
1024,0.600000,0.010000,57808,71363,0.113028,0.000000,208877810.000000,580.296736,1723256.290364,283.905385,20260340.000000,3522300.218061,229138150.000000,636.583275,1570886.384480,0.066055,0.073868
1024,0.600000,0.050000,57808,71363,0.149845,0.000000,208877810.000000,580.296736,1723256.290364,265.946779,18978760.000000,3760150.821234,227856570.000000,633.022837,1579721.839928,0.042969,0.050781
1024,0.600000,0.100000,57808,71363,0.193602,0.000000,208877810.000000,580.296736,1723256.290364,275.058504,19629000.000000,3635590.198176,228506810.000000,634.829310,1575226.576398,0.033028,0.040840
1024,0.600000,0.200000,57808,71363,0.290502,0.000000,208877810.000000,580.296736,1723256.290364,252.955173,18051640.000000,3953269.619824,226929450.000000,630.447145,1586175.791639,0.023087,0.030899
1024,0.600000,0.001000,57808,71363,0.104832,0.000000,208877810.000000,580.296736,1723256.290364,305.424099,21795980.000000,3274135.872762,230673790.000000,640.849535,1560428.690230,0.099083,0.106895
1024,0.700000,0.010000,78979,93025,0.081896,0.000000,208877810.000000,580.296736,1723256.290364,289.212470,26903990.000000,3457665.573025,235781800.000000,655.040422,1526623.344126,0.090248,0.098061
